rack_type,rack_spaces,Comments,Latitude,Longitude,x,y
Lightning Bolt Rack,5,,38.5373361,-121.75226076,6632532.933222085,1957602.9259910882
Lightning Bolt Rack,16,Slight bend,38.53752866,-121.75217478,6632557.33310768,1957673.120076418
Coat Hanger Rack,42,,38.53732021,-121.7553579,6631647.054416418,1957594.7419523448
Coat Hanger Rack,28,,38.53755205,-121.75201906,6632601.852047503,1957681.7588386685
Lightning Bolt Rack,34,,38.53754151,-121.75292124,6632343.806959927,1957677.218493417
Lightning Bolt Rack,25,,38.53751707,-121.75305069,6632306.806049675,1957668.2165429294
Lightning Bolt Rack,54,,38.53799289,-121.7530718,6632300.294579759,1957841.4852252603
Lightning Bolt Rack,26,,38.53798908,-121.7527004,6632406.533540502,1957840.386802256
Coat Hanger Rack,28,,38.53777899,-121.75366291,6632131.42943193,1957763.1284265816
Coat Hanger Rack,56,,38.53658483,-121.75358239,6632155.639685348,1957328.3028526753
Coat Hanger Rack,28,,38.53667951,-121.75304599,6632308.978945583,1957363.201733008
Lightning Bolt Rack,14,,38.53661461,-121.752677,6632414.588642508,1957339.8533544987
Coat Hanger Rack,36,,38.53700764,-121.75291006,6632347.534642756,1957482.8048402518
Coat Hanger Rack,42,,38.53838415,-121.75191991,6632629.386113167,1957984.8714214265
Lightning Bolt Rack,58,,38.53826493,-121.7519181,6632630.021282509,1957941.4551696777
Lightning Bolt Rack,70,,38.53853343,-121.75192048,6632629.074762091,1958039.2354859263
Lightning Bolt Rack,56,,38.5386171,-121.75187521,6632641.939893842,1958069.7406742573
Park-rite Rack,120,,38.53898145,-121.75298865,6632323.099980339,1958201.5632452518
Coat Hanger Rack,56,,38.53896688,-121.75421457,6631972.466823339,1958195.3060399294
Bike Rail,6,,38.53895857,-121.75406603,6632014.9621451795,1958192.3920037597
Coat Hanger Rack,12,,38.53866743,-121.75453714,6631880.495550588,1958086.0014685094
Bike Stall,6,,38.53895053,-121.75461718,6631857.322696671,1958189.0383359194
Lightning Bolt Rack,20,,38.5388226,-121.75496949,6631756.677228674,1958142.1795057505
Lightning Bolt Rack,19,,38.53896235,-121.75506432,6631729.4158002585,1958192.9999421686
Lightning Bolt Rack,49,,38.53886909,-121.75605328,6631446.635854006,1958158.2742898315
Lightning Bolt Rack,20,,38.53797539,-121.75548464,6631610.160461336,1957833.2460685074
Lightning Bolt Rack,361,,38.53773619,-121.75481475,6631802.006206259,1957746.6507692486
Lightning Bolt Rack,20,,38.53726515,-121.75494999,6631763.78482601,1957575.0028185844
Coat Hanger Rack,14,Bend,38.53731456,-121.75497404,6631756.856690258,1957592.9794886708
Coat Hanger Rack,40,,38.53655931,-121.75455356,6631877.87285243,1957318.256284833
Coat Hanger Rack,12,,38.53664342,-121.75427381,6631957.808716178,1957349.1059606671
